ingr_units,ingr_units_replace
clove,
count,
cup,cups
cups,
dash,dashes
dashes,
grain,
large,
loaf,loaves
loaves,
medium,
o,ounces
ounce,ounces
ounces,
pieces,
pinch,pinches
pinches,
pkg,
pound,
quart,quarts
quarts,
ripe,
serving,
slices,
splash,
tablespoon,tablespoons
tablespoons,
teaspoon,teaspoons
teaspoons,
thick slices,slices
inch thick slices ,slices
inch thick pieces,inch
inches in diameter,inch
slice,slices
ounce package,ounces
ounce can,ounces
ounce loaf,ounces
ounce jar,ounces
ounce container,ounces
ounce cans,ounces
ounce bag,ounces
pound loaf,pounds
