bread,dairy,eggs,flavor,fruit,milkcream,nuts,fat,sweet
bread,yogurt,egg,vanilla,apple,milk,walnut,oil,syrup
toast,cheese,eggs,nutmeg,apples,milks,walnuts,butter,maple
baguette,sour cream,egg substitute,parsley,applesauce,half-and-half,almond,spray,sugar
croissant,,egg beaters,rum extract,bananas,half and half,almonds,margarine,honey
hawaiian,,,allspice,banana,heavy whipping cream,hazlenut,,molasses
challah,,,butterscotch,apricot,heavy cream,pecan,,hot fudge
brioche,,,mint,strawberry,egg nog,pecans,,marshmallow
mexican bolillo rolls,,,extract,strawberries,eggnog,peanut,,caramel
pannetone,,,salt,blueberry,whipping cream,peanuts,,choclate hazelnut
italian bread,,,cinnamon,blueberries,light cream,hazelnuts,,cocoa powder
,,,ginger,pineapple,mascarpone cheese,hazelnut,,nutellaxae
,,,basil,cranberries,irish cream liqueur,,,
,,,chives,orange,,,,
,,,,kiwi,,,,
,,,,raisins,,,,
,,,,raisin,,,,
,,,,raspberry,,,,
,,,,raspberries,,,,
,,,,coconut,,,,
,,,,tomato,,,,
,,,,mixed berries,,,,
,,,,mixed berry,,,,
,,,,peach,,,,
,,,,peaches,,,,
,,,,pear,,,,
,,,,pears,,,,
,,,,lemon,,,,
,,,,pumpkin,,,,
